1K,1,Cycles,752158032,750270446,751749970,767317369,756608722,748299331,747079213,744483569,757712789,763744599,
1K,1,Bitrate,9592333.436069235,9133370.113769272,9214196.39796192,9741916.18032322,9339423.312856754,7521834.143607706,9491640.433149172,9194471.064490233,9822681.065751858,10852728.480101073,
1K,2,Cycles,762358371,765736335,765731341,763970933,758654078,765009943,760398451,761179657,769066620,758591840,
1K,2,Bitrate,5697187.592107445,4625705.219170705,6234755.646525132,5158345.348746435,8585641.771114442,6159867.043384726,6109484.062588905,8144047.965868689,5737141.153447988,9133370.113769272,
1K,3,Cycles,774728062,782082237,773652901,769882302,778735296,774114655,773842196,774388266,784189905,770967292,
1K,3,Bitrate,2692980.513206364,5542787.283110179,7983210.587360594,8223968.015318334,7276522.314273613,6132382.360878101,7454922.622694728,6400845.448584203,8078941.539619093,6067409.212078404,
1K,4,Cycles,788226861,785050023,792832870,790436096,789188808,783000021,785795093,783012008,783670613,775978373,
1K,4,Bitrate,5809898.269868109,6810651.807333994,7786027.275776116,6325430.48011782,6866454.509992006,7216916.27137156,7642290.56227758,6574768.15308075,6533511.764213729,6215582.193921852,
1K,5,Cycles,796809554,784365750,807114384,803512146,796391219,795860902,807735631,789966435,803030044,793239988,
1K,5,Bitrate,4804885.801706055,7026531.363599182,7051044.196183049,6243819.4381246595,7406712.3017891785,7204809.890543091,5957991.740593029,6644698.968864823,5884524.467888337,6749113.802396386,
1K,6,Cycles,802503055,797512973,801108906,797620905,801408773,791234820,791707177,810978822,796595673,807891870,
1K,6,Bitrate,5244160.312576313,5993326.0715157855,6379453.837356108,5732355.416750084,6517401.0561456755,5626287.599148518,6913428.24305835,7454922.622694728,7135978.892627207,7327732.644060567,
1K,7,Cycles,814183874,808994524,812317421,817953218,822992034,822204319,824240160,820394039,820881565,818769050,
1K,7,Bitrate,4922598.620057306,5809898.269868109,6183145.288464999,4553371.106281473,4354846.4344740175,6450110.450159565,5970415.0074717635,5626287.599148518,5839520.456832087,6085678.067304286,
1K,8,Cycles,820989527,811644404,829017078,822368912,824969873,823108486,821936835,828299011,827636851,836602122,
1K,8,Bitrate,4998507.181844632,4861997.788028867,5414393.061456035,5645701.342096616,3789119.8023820026,6046056.373042407,3974521.500057837,4882031.595339585,4649490.983491205,5765056.773154362,
10K,1,Cycles,755439798,747298083,756734758,754685452,748276481,762126878,748215196,754837894,753525804,754620067,
