1K,1,Cycles,761297304,764056179,767130967,756199133,757072066,766860242,754233680,771261509,759616588,763989607,
1K,1,Bitrate,9728125.245753115,9042036.412631579,10724013.223470662,9011208.593758196,9194471.064490233,9515297.24951537,9070680.667370643,7149342.1489804415,8650488.008056395,12262576.148465382,
1K,2,Cycles,769764877,770996274,771679491,778800860,770411377,768769759,763063803,775539582,1003319285,776055053,
1K,2,Bitrate,7242777.902192242,10076169.609384164,7721289.520898877,8973554.02663881,9256395.034482758,9352133.469787698,8807930.881312484,8742935.971501272,9523209.082039911,8587787.645088729,
1K,3,Cycles,790887887,779157131,778646621,811150615,774406457,772811310,786103875,775157596,778388006,779585222,
1K,3,Bitrate,4751727.059604481,3723422.016471608,4368688.921551176,4612664.56812995,4488535.384454605,4438095.88840093,4538335.539294677,4255602.968540995,4479173.297875114,4556390.182734385,
10K,1,Cycles,762869976,759152656,762474724,761054729,761448840,761779645,762725521,762254262,759462780,754458362,
10K,1,Bitrate,79444481.77572255,82161019.53132473,87719526.08629052,87518437.00458482,89037933.06037834,88192346.94045174,82338217.99185239,120265097.54287714,87607695.9918409,90730758.827568,
10K,2,Cycles,772696597,798921437,776125419,767141744,769841905,762848847,763989186,769579109,769894785,770408268,
10K,2,Bitrate,82082509.2403249,87518437.00458482,66549948.41758668,87141106.6903373,84713358.89546351,75849312.07064018,58177680.94818828,81595199.16409405,33712459.15227629,84277013.41182242,
10K,3,Cycles,823553709,809473044,782241980,793226663,797512704,782509746,770317030,786702719,780198944,778885186,
10K,3,Bitrate,35661378.69019201,46257052.19170705,40595154.02646503,36088371.355950005,43876565.40416294,47431996.64273882,41602782.864753604,44908820.24310548,36298054.47707585,38084391.89536688,
100K,1,Cycles,761610222,763643492,758551485,746026081,763319122,750541860,769390971,761222254,767505647,755646811,
100K,1,Bitrate,639013174.0375674,607706727.41422,580204970.753124,713597889.2627207,482174268.4254841,602379704.9088359,622008297.7552499,551255228.108455,574481497.542217,612254782.038489,
100K,2,Cycles,770890478,774957643,761581560,775952863,778049024,768023840,778566631,787535548,770673188,772599694,
100K,2,Bitrate,455639018.2734385,459416210.2954941,549492057.7003039,494100350.41702616,533370666.99782676,503513164.8300117,675840644.5318646,572090215.917416,582269757.1259109,473014019.3832599,
100K,3,Cycles,783848198,776514996,778698565,782980297,791070882,790741365,778111164,785870972,771363229,793954748,
100K,3,Bitrate,355066015.9966932,383179863.5887142,368034901.1139674,366699448.9647812,358698594.50882137,371175741.2552663,384423118.90803313,369698067.22616744,381351147.25860155,377704060.3275805,
1M,1,Cycles,771384942,770861789,768328288,762400349,762859264,770048693,767899429,783146606,768822671,766910147,
1M,1,Bitrate,2038019699.3067656,1720086633.5288193,2212157943.3405848,2016411948.4687948,2016065327.1162045,2244187529.584896,1818031937.6237276,2163727451.499416,1921803151.017697,2258738658.8452206,
1M,2,Cycles,785812275,770039930,773468958,774820699,835353459,775383619,794492954,794807583,784950983,792679031,
1M,2,Bitrate,2434230807.30815,2170936761.203924,2213967536.4228544,2115589687.2606578,2577043293.6960373,2036604080.159296,2275096804.9681215,2253819235.7204537,2406427199.8380413,2491458156.6939526,
1M,3,Cycles,783919985,783925044,782191935,778702504,800817993,808828423,805086055,793960384,780177936,776075129,
1M,3,Bitrate,1788278123.955883,1915629775.6210594,2333955030.768292,1868329019.1605778,1837591898.9310074,1585095827.7619498,1837208087.7673228,1781396997.054934,2073816579.5610044,2019421000.33473,
