1K,1,Cycles,779750716,773579322,786089868,760227526,792377163,791543647,790605998,829410481,799075417,785231367,
1K,1,Bitrate,10808348.023906888,9557646.27760779,7110873.006622517,6782419.733122779,5618926.961242845,4476838.875309446,4928954.004877349,6211087.91901663,7606760.763338499,8798908.672983354,
1K,2,Cycles,785639646,797241292,795773350,786558845,794365241,818092210,815100452,792969151,819246115,775842896,
1K,2,Bitrate,5254586.078605291,5565231.352121801,6000652.876004191,5329570.089654103,4652008.985648524,5626287.599148518,5859436.965893588,5603349.375081539,6394888.95737949,4861309.89926429,
1K,3,Cycles,773551032,811928787,803362767,795724367,800495207,797682979,804404737,795585034,832071763,792847372,
1K,3,Bitrate,4297653.329330832,3140169.8380552,4047083.4355712603,3864118.1250562305,3649080.1155480035,3938078.8960458455,3620244.270150669,2003950.6805085735,3780365.0971504017,3532408.5913436827,
1K,4,Cycles,806463783,797283348,814288629,835206282,829596104,803522270,812742795,814494161,810007065,841073280,
1K,4,Bitrate,1976287.7239157944,2573570.396824208,2481743.4718671,2243242.042697656,2831690.98137465,2917528.943534007,2563203.160611712,2953136.0866351523,2731515.889021385,3912073.1376522826,
1K,5,Cycles,837726528,810109097,822425833,819143791,834414983,836268404,820409430,839372662,805484835,822272121,
1K,5,Bitrate,2589084.34692186,2993008.568641115,1543078.9225310998,2909130.333418,1575051.0368095348,1304222.3711520212,1963525.822504143,2539334.7400783384,1881488.2470704194,1397021.2794470422,
1K,6,Cycles,838729639,822848083,838878230,835132280,879222634,825105309,833227835,835606278,839368878,853353269,
1K,6,Bitrate,2814065.3864045865,1166952.1249830185,3008470.218719902,1308643.295551493,1029782.9637355391,1486790.9289485072,1141102.5328949552,1101379.567522518,1219944.5541629682,1373839.9987205118,
1K,7,Cycles,849421666,858354848,818379317,841879432,832768970,848644521,857053680,846887271,850446833,835615007,
1K,7,Bitrate,1006760.77142606,951450.678924487,950108.902997456,949898.7716465775,980586.1406392694,891881.5929396496,944000.7244354085,905394.9504084322,813248.2453964497,1046372.6396443037,
1K,8,Cycles,841391508,842907793,860115687,871487785,845979622,859229392,861430894,896445146,842828435,824404051,
1K,8,Bitrate,798673.6330629227,812037.3967338643,792264.9442689478,799938.0338509533,711543.7960612148,745880.6574914254,715142.5377346709,712709.7773905828,895787.9492139636,1918145.389828616,
10K,1,Cycles,792365224,775545791,779141530,808353142,771666685,763837663,788976042,801792012,799175902,779015291,
10K,1,Bitrate,71108730.06622517,60899926.21056363,53089830.60568603,75582354.52705675,63300918.14296242,67424918.30455258,64598116.879112616,71672378.74009179,71672378.74009179,73939613.44523348,
10K,2,Cycles,815444176,793265946,783116638,790352192,786666113,784057693,797832876,816521041,788353408,792757624,
10K,2,Bitrate,51290846.944320045,70193541.0990807,43230672.33014595,66446989.68864823,59975106.24541805,58266471.71103951,63056961.58561204,62872348.34034767,47995164.64310658,59445914.13148789,
10K,3,Cycles,799802857,813384519,799749329,807597785,807299660,786269859,817054495,791124536,783727085,804655539,
10K,3,Bitrate,40079013.61017147,38550138.41355324,37962366.99591205,35929873.85548468,35190227.74272839,30153346.52742431,20058224.382953882,36587944.16782025,33560986.88025005,29425142.046758585,
10K,4,Cycles,801109318,834790555,809393044,805139903,804754215,806961944,836145382,809370933,797479977,796181499,
10K,4,Bitrate,26666463.615056265,20019657.61696673,26214800.00610361,24519901.782630414,28695288.431601804,29205047.486612834,25963229.8382953,25649252.290235892,20665025.782161545,18754291.997161727,
10K,5,Cycles,837064040,825254461,834414074,810885676,820785913,809655646,809177540,838251826,858659578,801442689,
10K,5,Bitrate,22340532.09882965,30029486.425450098,14835170.488320883,16529435.882041661,21267478.56400099,14524745.674670273,27996201.71759146,17109719.334727615,36572366.54390633,22394406.809620023,
10K,6,Cycles,834847765,853391607,822120473,820350788,829685236,823630007,856394837,837389482,822798961,838201909,
10K,6,Bitrate,11000396.468064671,22630401.348877035,14234708.081862623,12401103.825026168,10126057.517387716,12059433.654359119,12032827.304500088,13497697.347580139,11674279.141070943,25260798.682546683,
10K,7,Cycles,831408392,830746059,837325856,842152716,854460676,845631178,848186696,863201579,836519104,861837731,
10K,7,Bitrate,9285913.833846819,9816507.161876464,9475934.464423608,9392525.9329725,8937375.04695019,9556582.958224397,12002982.731782297,10018292.669329679,10367117.752768308,10287654.830384143,
10K,8,Cycles,841278239,826381820,829643879,838603832,840753661,848442712,849009062,862993915,824910364,869911968,
10K,8,Bitrate,7501798.691760185,8321765.69255734,8323580.031007752,7927219.07715024,7537013.76853558,8113279.425737899,9189061.394950792,8051113.80087635,8115003.983845445,7674038.13999196,
100K,1,Cycles,769204867,787792806,784917907,806362159,782617011,785689626,792701013,781144273,780984523,822850072,
100K,1,Bitrate,442552014.01339513,1090785345.015873,534366071.0419907,466780849.99320745,458435468.5523682,645617030.5900037,288470643.67391485,532626544.22570145,457154581.79882914,543236970.2450593,
100K,2,Cycles,779601083,797945247,790349739,800228196,815201929,800843487,819581092,785843800,776260525,767120202,
100K,2,Bitrate,493816303.07559645,484690906.58767104,388816774.56150275,396306094.2099193,511686349.4862249,391965986.40200776,508204975.12202334,399021465.19567996,487026766.378455,408995814.40304726,
100K,3,Cycles,795364715,797758868,784546707,807973064,841259547,801610773,791816394,804512961,816612154,799306512,
100K,3,Bitrate,330033026.2991067,326117486.4085042,237110885.1563039,336728129.83143866,308879345.2714851,328330036.9612996,269742018.90406656,340465104.7166072,314218000.62185645,285237741.7233937,
100K,4,Cycles,792936588,827730767,807992845,813285844,807627464,836985700,858976552,910486411,797748468,817661721,
100K,4,Bitrate,228137164.65042162,241646658.47105986,185427622.06152186,178242145.39606786,198347505.44362986,256818434.62142164,198691599.88434628,175753137.43222508,232395930.79472438,296818748.85970974,
